epoch,loss,lr,val_loss
0,-3.373778820037842,0.001,-4.393095970153809
1,-4.683262825012207,0.001,-4.947017192840576
2,-5.223954200744629,0.001,-5.4489898681640625
3,-5.611238479614258,0.001,-5.704786777496338
4,-5.925253868103027,0.001,-5.903536319732666
5,-6.255400657653809,0.001,-6.160581111907959
6,-6.487989902496338,0.001,-6.419459342956543
7,-6.755422592163086,0.001,-6.584963798522949
8,-6.993678569793701,0.001,-6.785843372344971
9,-7.193410873413086,0.001,-6.9513750076293945
10,-7.37160062789917,0.001,-6.968247890472412
11,-7.539931774139404,0.001,-7.213738441467285
12,-7.711136341094971,0.001,-7.262322425842285
13,-7.833329677581787,0.001,-7.327089786529541
14,-7.961813926696777,0.001,-7.268740653991699
15,-8.078328132629395,0.001,-7.471744537353516
16,-8.19763469696045,0.001,-7.576440334320068
17,-8.31844711303711,0.001,-7.658876895904541
18,-8.374829292297363,0.001,-7.770244121551514
19,-8.494043350219727,0.001,-7.727963447570801
20,-8.59099292755127,0.001,-7.82100248336792
21,-8.66014575958252,0.001,-7.8275532722473145
22,-8.73423957824707,0.001,-7.841318130493164
23,-8.82756519317627,0.001,-7.979047775268555
24,-8.89397144317627,0.001,-7.925768852233887
25,-8.976592063903809,0.001,-8.040431022644043
26,-9.04039192199707,0.001,-8.09976577758789
27,-9.101987838745117,0.001,-8.059330940246582
28,-9.166081428527832,0.001,-8.164799690246582
29,-9.206332206726074,0.001,-8.159242630004883
30,-9.284164428710938,0.001,-8.201045036315918
31,-9.3306884765625,0.001,-8.251888275146484
32,-9.412589073181152,0.001,-8.330758094787598
33,-9.448899269104004,0.001,-8.312397956848145
34,-9.484726905822754,0.001,-8.335209846496582
35,-9.582033157348633,0.001,-8.355899810791016
36,-9.607061386108398,0.001,-8.334997177124023
37,-9.65389633178711,0.001,-8.37940788269043
38,-9.72391414642334,0.001,-8.448604583740234
39,-9.722179412841797,0.001,-8.422645568847656
40,-9.789091110229492,0.001,-8.450750350952148
41,-9.840557098388672,0.001,-8.445086479187012
42,-9.8469877243042,0.001,-8.509322166442871
43,-9.930910110473633,0.001,-8.390766143798828
44,-9.94156551361084,0.001,-8.525177001953125
45,-9.961482048034668,0.001,-8.510249137878418
46,-10.000871658325195,0.001,-8.581208229064941
47,-10.064985275268555,0.001,-8.566780090332031
48,-10.086260795593262,0.001,-8.548242568969727
49,-10.124399185180664,0.001,-8.551486015319824
50,-10.352187156677246,0.0005,-8.731990814208984
51,-10.4761381149292,0.0005,-8.71995735168457
52,-10.540985107421875,0.0005,-8.698033332824707
53,-10.558308601379395,0.0005,-8.750117301940918
54,-10.577963829040527,0.0005,-8.738591194152832
55,-10.626370429992676,0.0005,-8.70500373840332
56,-10.63263988494873,0.0005,-8.741201400756836
57,-10.754366874694824,0.00025,-8.814186096191406
58,-10.800182342529297,0.00025,-8.790884017944336
59,-10.850358009338379,0.00025,-8.815546989440918
60,-10.863425254821777,0.00025,-8.767112731933594
61,-10.867576599121094,0.00025,-8.793251037597656
62,-10.910058975219727,0.00025,-8.766185760498047
63,-10.939443588256836,0.000125,-8.816569328308105
64,-10.969586372375488,0.000125,-8.800212860107422
65,-10.986551284790039,0.000125,-8.787858963012695
66,-10.996064186096191,0.000125,-8.799036979675293
67,-11.023094177246094,6.25e-05,-8.80501937866211
68,-11.037396430969238,6.25e-05,-8.803374290466309
69,-11.033227920532227,6.25e-05,-8.794840812683105
