epoch,loss,lr,val_loss
0,-5.616955280303955,0.001,-7.028230667114258
1,-7.509638786315918,0.001,-7.896617889404297
2,-8.132759094238281,0.001,-8.243043899536133
3,-8.54822826385498,0.001,-8.634185791015625
4,-8.908095359802246,0.001,-8.858098030090332
5,-9.209455490112305,0.001,-9.137960433959961
6,-9.451589584350586,0.001,-9.30437183380127
7,-9.635467529296875,0.001,-9.407432556152344
8,-9.819998741149902,0.001,-9.589638710021973
9,-9.981829643249512,0.001,-9.502815246582031
10,-10.126873970031738,0.001,-9.674453735351562
11,-10.26116943359375,0.001,-9.779458045959473
12,-10.443401336669922,0.001,-9.930115699768066
13,-10.574277877807617,0.001,-9.986781120300293
14,-10.667407035827637,0.001,-10.040185928344727
15,-10.765414237976074,0.001,-10.146421432495117
16,-10.839487075805664,0.001,-10.165061950683594
17,-10.928268432617188,0.001,-10.18684196472168
18,-10.965879440307617,0.001,-10.196420669555664
19,-11.047323226928711,0.001,-10.363540649414062
20,-11.098718643188477,0.001,-10.338876724243164
21,-11.141798973083496,0.001,-10.372540473937988
22,-11.216028213500977,0.001,-10.342333793640137
23,-11.250445365905762,0.001,-10.41147232055664
24,-11.291520118713379,0.001,-10.366214752197266
25,-11.329298973083496,0.001,-10.45788288116455
26,-11.36417293548584,0.001,-10.456210136413574
27,-11.388675689697266,0.001,-10.448055267333984
28,-11.444272994995117,0.001,-10.52452278137207
29,-11.465384483337402,0.001,-10.506657600402832
30,-11.485557556152344,0.001,-10.464316368103027
31,-11.527823448181152,0.001,-10.536280632019043
32,-11.57553482055664,0.001,-10.486716270446777
33,-11.59829330444336,0.001,-10.58595085144043
34,-11.585559844970703,0.001,-10.566418647766113
35,-11.646210670471191,0.001,-10.588706970214844
36,-11.661624908447266,0.001,-10.45714282989502
37,-11.664109230041504,0.001,-10.569635391235352
38,-11.728065490722656,0.001,-10.593076705932617
39,-11.732475280761719,0.001,-10.601874351501465
40,-11.75,0.001,-10.58403205871582
41,-11.759011268615723,0.001,-10.613555908203125
42,-11.78125,0.001,-10.572065353393555
43,-11.830443382263184,0.001,-10.632111549377441
44,-11.814703941345215,0.001,-10.656747817993164
45,-11.84177017211914,0.001,-10.640947341918945
46,-11.840725898742676,0.001,-10.670808792114258
47,-11.882695198059082,0.001,-10.628149032592773
48,-11.888919830322266,0.001,-10.650028228759766
49,-11.918740272521973,0.001,-10.673745155334473
50,-11.909863471984863,0.001,-10.683876991271973
51,-11.931350708007812,0.001,-10.660175323486328
52,-11.969039916992188,0.001,-10.677925109863281
53,-11.97691535949707,0.001,-10.682387351989746
54,-12.153223037719727,0.0005,-10.766559600830078
55,-12.24594783782959,0.0005,-10.816636085510254
56,-12.260826110839844,0.0005,-10.820304870605469
57,-12.275803565979004,0.0005,-10.80668830871582
58,-12.303592681884766,0.0005,-10.818767547607422
59,-12.332221984863281,0.0005,-10.828275680541992
60,-12.348889350891113,0.0005,-10.790193557739258
61,-12.361604690551758,0.0005,-10.814774513244629
62,-12.38784408569336,0.0005,-10.82387638092041
63,-12.449933052062988,0.00025,-10.860162734985352
64,-12.492137908935547,0.00025,-10.86351490020752
65,-12.509674072265625,0.00025,-10.857609748840332
66,-12.517190933227539,0.00025,-10.866279602050781
67,-12.53398323059082,0.00025,-10.851714134216309
68,-12.540996551513672,0.00025,-10.855294227600098
69,-12.533599853515625,0.00025,-10.879087448120117
